Date;Time;Date/time;Latitude [degrees];Longitude [degrees];Position;Course [degrees];Heading [degrees];Speed [km/h];Fuel consumption;Fuel total 1;Fuel total 2;Pull force
2020-07-08;14:00:05;2020-07-08 14:00:05;49,47069;8,60243;49°28,241' N 008°36,146' E;130,5;0,0;12,8;0,00;0,00;0,00;0,000
2020-07-08;14:00:10;2020-07-08 14:00:10;49,47058;8,60262;49°28,235' N 008°36,157' E;129,5;0,0;13,0;0,00;0,00;0,00;0,000
2020-07-08;14:00:15;2020-07-08 14:00:15;49,47050;8,60276;49°28,230' N 008°36,166' E;132,5;0,0;12,6;0,00;0,00;0,00;0,000
2020-07-08;14:00:21;2020-07-08 14:00:21;49,47038;8,60295;49°28,223' N 008°36,177' E;136,2;0,0;12,4;0,00;0,00;0,00;0,000
2020-07-08;14:00:26;2020-07-08 14:00:26;49,47027;8,60310;49°28,216' N 008°36,186' E;140,1;0,0;12,2;0,00;0,00;0,00;0,000
2020-07-08;14:00:32;2020-07-08 14:00:32;49,47012;8,60326;49°28,207' N 008°36,195' E;145,7;0,0;12,2;0,00;0,00;0,00;0,000
2020-07-08;14:00:37;2020-07-08 14:00:37;49,46999;8,60339;49°28,199' N 008°36,203' E;150,0;0,0;12,2;0,00;0,00;0,00;0,000
2020-07-08;14:00:43;2020-07-08 14:00:43;49,46982;8,60353;49°28,189' N 008°36,212' E;154,2;0,0;12,2;0,00;0,00;0,00;0,000
2020-07-08;14:00:48;2020-07-08 14:00:48;49,46967;8,60362;49°28,180' N 008°36,217' E;156,1;0,0;12,2;0,00;0,00;0,00;0,000
2020-07-08;14:00:54;2020-07-08 14:00:54;49,46947;8,60375;49°28,168' N 008°36,225' E;156,6;0,0;12,4;0,00;0,00;0,00;0,000
2020-07-08;14:01:00;2020-07-08 14:01:00;49,46933;8,60383;49°28,160' N 008°36,230' E;159,6;0,0;12,4;0,00;0,00;0,00;0,000
2020-07-08;14:01:05;2020-07-08 14:01:05;49,46918;8,60390;49°28,151' N 008°36,234' E;162,6;0,0;12,4;0,00;0,00;0,00;0,000
2020-07-08;14:01:10;2020-07-08 14:01:10;49,46900;8,60399;49°28,140' N 008°36,240' E;163,3;0,0;12,6;0,00;0,00;0,00;0,000
2020-07-08;14:01:15;2020-07-08 14:01:15;49,46885;8,60404;49°28,131' N 008°36,243' E;165,2;0,0;12,6;0,00;0,00;0,00;0,000
2020-07-08;14:01:20;2020-07-08 14:01:20;49,46872;8,60411;49°28,123' N 008°36,246' E;166,3;0,0;12,8;0,00;0,00;0,00;0,000
2020-07-08;14:01:26;2020-07-08 14:01:26;49,46853;8,60416;49°28,112' N 008°36,250' E;166,9;0,0;12,8;0,00;0,00;0,00;0,000
2020-07-08;14:01:32;2020-07-08 14:01:32;49,46833;8,60421;49°28,100' N 008°36,253' E;168,9;0,0;13,0;0,00;0,00;0,00;0,000
2020-07-08;14:01:37;2020-07-08 14:01:37;49,46817;8,60425;49°28,090' N 008°36,255' E;170,2;0,0;13,1;0,00;0,00;0,00;0,000
2020-07-08;14:01:43;2020-07-08 14:01:43;49,46798;8,60430;49°28,079' N 008°36,258' E;170,5;0,0;13,1;0,00;0,00;0,00;0,000
2020-07-08;14:01:48;2020-07-08 14:01:48;49,46783;8,60433;49°28,070' N 008°36,260' E;171,3;0,0;13,1;0,00;0,00;0,00;0,000
2020-07-08;14:01:53;2020-07-08 14:01:53;49,46764;8,60436;49°28,058' N 008°36,262' E;172,3;0,0;13,3;0,00;0,00;0,00;0,000
2020-07-08;14:01:58;2020-07-08 14:01:58;49,46747;8,60439;49°28,048' N 008°36,263' E;173,0;0,0;13,3;0,00;0,00;0,00;0,000
2020-07-08;14:02:04;2020-07-08 14:02:04;49,46730;8,60441;49°28,038' N 008°36,265' E;173,4;0,0;13,3;0,00;0,00;0,00;0,000
2020-07-08;14:02:09;2020-07-08 14:02:09;49,46713;8,60445;49°28,028' N 008°36,267' E;174,0;0,0;13,3;0,00;0,00;0,00;0,000
2020-07-08;14:02:14;2020-07-08 14:02:14;49,46693;8,60448;49°28,016' N 008°36,269' E;174,3;0,0;13,3;0,00;0,00;0,00;0,000
2020-07-08;14:02:19;2020-07-08 14:02:19;49,46676;8,60451;49°28,006' N 008°36,271' E;173,9;0,0;13,3;0,00;0,00;0,00;0,000
2020-07-08;14:02:25;2020-07-08 14:02:25;49,46659;8,60454;49°27,995' N 008°36,273' E;173,8;0,0;13,3;0,00;0,00;0,00;0,000
2020-07-08;14:02:30;2020-07-08 14:02:30;49,46642;8,60458;49°27,985' N 008°36,275' E;173,6;0,0;13,3;0,00;0,00;0,00;0,000
2020-07-08;14:02:36;2020-07-08 14:02:36;49,46619;8,60462;49°27,971' N 008°36,277' E;173,3;0,0;13,3;0,00;0,00;0,00;0,000
2020-07-08;14:02:42;2020-07-08 14:02:42;49,46602;8,60465;49°27,961' N 008°36,279' E;172,7;0,0;13,3;0,00;0,00;0,00;0,000
2020-07-08;14:02:47;2020-07-08 14:02:47;49,46586;8,60468;49°27,952' N 008°36,281' E;172,1;0,0;13,3;0,00;0,00;0,00;0,000
2020-07-08;14:02:52;2020-07-08 14:02:52;49,46566;8,60473;49°27,940' N 008°36,284' E;171,5;0,0;13,5;0,00;0,00;0,00;0,000
2020-07-08;14:02:57;2020-07-08 14:02:57;49,46549;8,60477;49°27,929' N 008°36,286' E;171,7;0,0;13,7;0,00;0,00;0,00;0,000
2020-07-08;14:03:03;2020-07-08 14:03:03;49,46532;8,60481;49°27,919' N 008°36,289' E;171,0;0,0;13,7;0,00;0,00;0,00;0,000
2020-07-08;14:03:08;2020-07-08 14:03:08;49,46511;8,60486;49°27,907' N 008°36,291' E;169,2;0,0;13,7;0,00;0,00;0,00;0,000
2020-07-08;14:03:13;2020-07-08 14:03:13;49,46493;8,60491;49°27,896' N 008°36,295' E;167,6;0,0;13,7;0,00;0,00;0,00;0,000
2020-07-08;14:03:18;2020-07-08 14:03:18;49,46476;8,60498;49°27,886' N 008°36,299' E;166,6;0,0;13,7;0,00;0,00;0,00;0,000
2020-07-08;14:03:24;2020-07-08 14:03:24;49,46460;8,60505;49°27,876' N 008°36,303' E;166,1;0,0;13,7;0,00;0,00;0,00;0,000
2020-07-08;14:03:29;2020-07-08 14:03:29;49,46443;8,60514;49°27,866' N 008°36,308' E;165,2;0,0;13,7;0,00;0,00;0,00;0,000
2020-07-08;14:03:35;2020-07-08 14:03:35;49,46424;8,60524;49°27,854' N 008°36,314' E;163,1;0,0;13,7;0,00;0,00;0,00;0,000
2020-07-08;14:03:40;2020-07-08 14:03:40;49,46406;8,60534;49°27,844' N 008°36,320' E;161,2;0,0;13,5;0,00;0,00;0,00;0,000
2020-07-08;14:03:46;2020-07-08 14:03:46;49,46385;8,60545;49°27,831' N 008°36,327' E;160,4;0,0;13,5;0,00;0,00;0,00;0,000
2020-07-08;14:03:51;2020-07-08 14:03:51;49,46366;8,60556;49°27,819' N 008°36,333' E;159,6;0,0;13,3;0,00;0,00;0,00;0,000
2020-07-08;14:03:56;2020-07-08 14:03:56;49,46351;8,60564;49°27,810' N 008°36,338' E;159,1;0,0;13,3;0,00;0,00;0,00;0,000
