 	K1: SI:1
 	V AD
 	 
2020.07.10 07:32:33	000,00
2020.07.10 08:22:57	000,00
2020.07.10 08:22:58	001,00E-3
2020.07.10 08:23:13	001,00E-3
2020.07.10 08:23:14	000,00
2020.07.10 08:24:21	000,00
2020.07.10 08:24:22	001,00E-3
2020.07.10 08:24:23	001,01E-3
2020.07.10 08:24:24	001,01E-3
2020.07.10 08:24:25	000,00
2020.07.10 08:26:29	000,00
2020.07.10 08:26:30	001,00E-3
2020.07.10 08:26:40	001,00E-3
2020.07.10 08:26:41	000,00
2020.07.10 08:26:42	001,00E-3
2020.07.10 08:26:43	001,00E-3
2020.07.10 08:26:44	000,00
2020.07.10 08:26:49	000,00
2020.07.10 08:26:50	001,00E-3
2020.07.10 08:26:51	000,00
2020.07.10 08:27:04	000,00
2020.07.10 08:27:05	001,00E-3
2020.07.10 08:27:20	001,00E-3
2020.07.10 08:27:21	000,00
2020.07.10 08:27:22	000,00
2020.07.10 08:27:23	001,00E-3
2020.07.10 08:27:25	001,00E-3
2020.07.10 08:27:26	000,00
2020.07.10 08:27:38	000,00
2020.07.10 08:27:39	001,00E-3
2020.07.10 08:27:41	001,00E-3
2020.07.10 08:27:42	001,01E-3
2020.07.10 08:27:56	001,01E-3
2020.07.10 08:27:57	001,00E-3
2020.07.10 08:27:58	001,00E-3
2020.07.10 08:27:59	001,01E-3
2020.07.10 08:28:00	001,00E-3
2020.07.10 08:28:08	001,00E-3
2020.07.10 08:28:09	001,01E-3
2020.07.10 08:28:37	001,01E-3
2020.07.10 08:28:38	001,00E-3
2020.07.10 08:28:40	001,00E-3
2020.07.10 08:28:41	001,01E-3
2020.07.10 08:28:44	001,01E-3
2020.07.10 08:28:45	001,00E-3
2020.07.10 08:28:53	001,00E-3
2020.07.10 08:28:54	000,00
2020.07.10 08:28:55	001,00E-3
2020.07.10 08:29:02	001,00E-3
2020.07.10 08:29:03	000,00
2020.07.10 08:29:20	000,00
2020.07.10 08:29:21	001,00E-3
2020.07.10 08:29:22	001,01E-3
2020.07.10 08:29:32	001,01E-3
2020.07.10 08:29:33	001,00E-3
2020.07.10 08:29:34	001,01E-3
2020.07.10 08:29:56	001,01E-3
2020.07.10 08:29:57	001,00E-3
2020.07.10 08:29:58	001,00E-3
2020.07.10 08:29:59	000,00
2020.07.10 08:40:58	000,00
2020.07.10 08:40:59	001,01E-3
2020.07.10 08:41:02	001,01E-3
2020.07.10 08:41:03	001,02E-3
2020.07.10 08:41:04	001,02E-3
2020.07.10 08:41:05	001,03E-3
2020.07.10 08:41:06	001,03E-3
2020.07.10 08:41:07	001,04E-3
2020.07.10 08:41:12	001,04E-3
2020.07.10 08:41:13	001,05E-3
2020.07.10 08:41:17	001,05E-3
2020.07.10 08:41:18	001,04E-3
2020.07.10 08:41:19	001,05E-3
2020.07.10 08:41:25	001,05E-3
2020.07.10 08:41:26	001,04E-3
2020.07.10 08:41:27	001,03E-3
2020.07.10 08:41:28	001,02E-3
2020.07.10 08:41:30	001,02E-3
2020.07.10 08:41:31	001,01E-3
2020.07.10 08:41:36	001,01E-3
2020.07.10 08:41:37	001,02E-3
2020.07.10 08:41:40	001,02E-3
2020.07.10 08:41:41	001,01E-3
2020.07.10 08:41:57	001,01E-3
2020.07.10 08:41:58	001,02E-3
2020.07.10 08:41:59	001,03E-3
2020.07.10 08:42:00	001,04E-3
2020.07.10 08:42:23	001,04E-3
2020.07.10 08:42:24	001,05E-3
2020.07.10 08:42:28	001,05E-3
2020.07.10 08:42:29	001,04E-3
2020.07.10 08:42:30	001,04E-3
2020.07.10 08:42:31	001,05E-3
2020.07.10 08:42:34	001,05E-3
2020.07.10 08:42:35	001,04E-3
2020.07.10 08:42:36	001,04E-3
2020.07.10 08:42:37	001,05E-3
2020.07.10 08:42:56	001,05E-3
2020.07.10 08:42:57	001,04E-3
2020.07.10 08:43:10	001,04E-3
2020.07.10 08:43:11	001,05E-3
2020.07.10 08:43:12	001,05E-3
2020.07.10 08:43:13	001,04E-3
2020.07.10 08:43:17	001,04E-3
2020.07.10 08:43:18	001,05E-3
2020.07.10 08:43:24	001,05E-3
2020.07.10 08:43:25	001,04E-3
2020.07.10 08:44:44	001,04E-3
2020.07.10 08:44:45	001,03E-3
2020.07.10 08:44:53	001,03E-3
2020.07.10 08:44:54	001,04E-3
2020.07.10 08:45:06	001,04E-3
2020.07.10 08:45:07	001,03E-3
2020.07.10 08:45:09	001,03E-3
2020.07.10 08:45:10	001,04E-3
2020.07.10 08:45:12	001,04E-3
2020.07.10 08:45:13	001,03E-3
2020.07.10 08:45:17	001,03E-3
2020.07.10 08:45:18	001,04E-3
2020.07.10 08:45:20	001,04E-3
2020.07.10 08:45:21	001,03E-3
2020.07.10 08:45:26	001,03E-3
2020.07.10 08:45:27	001,04E-3
2020.07.10 08:45:28	001,04E-3
2020.07.10 08:45:29	001,03E-3
2020.07.10 08:45:32	001,03E-3
2020.07.10 08:45:33	001,04E-3
2020.07.10 08:45:35	001,04E-3
2020.07.10 08:45:36	001,05E-3
2020.07.10 08:45:48	001,05E-3
2020.07.10 08:45:49	001,04E-3
2020.07.10 08:45:50	001,02E-3
2020.07.10 08:45:51	000,00
2020.07.10 09:26:07	000,00
2020.07.10 09:26:08	 
2020.07.10 09:26:09	000,00
2020.07.10 09:26:15	000,00
2020.07.10 09:26:16	 
2020.07.10 09:26:17	000,00
2020.07.10 09:27:51	000,00
2020.07.10 09:27:52	001,21E-3
2020.07.10 09:27:53	001,48E-3
2020.07.10 09:27:54	001,43E-3
2020.07.10 09:27:55	001,43E-3
2020.07.10 09:27:56	001,41E-3
2020.07.10 09:27:57	001,40E-3
2020.07.10 09:27:58	001,27E-3
2020.07.10 09:27:59	000,00
2020.07.10 09:29:48	000,00
2020.07.10 09:29:49	020,19E-3
2020.07.10 09:29:50	092,51E-3
2020.07.10 09:29:51	092,42E-3
2020.07.10 09:29:52	0L
2020.07.10 09:29:53	0L
2020.07.10 09:29:54	02,841
2020.07.10 09:29:55	03,048
2020.07.10 09:29:56	03,002
2020.07.10 09:29:57	03,003
2020.07.10 09:29:58	03,000
2020.07.10 09:29:59	03,000
2020.07.10 09:30:00	02,998
2020.07.10 09:30:01	02,997
2020.07.10 09:30:02	02,996
2020.07.10 09:30:03	02,996
2020.07.10 09:30:04	02,998
2020.07.10 09:30:05	03,003
2020.07.10 09:30:06	03,011
2020.07.10 09:30:07	03,017
2020.07.10 09:30:08	03,023
2020.07.10 09:30:09	03,026
2020.07.10 09:30:10	03,025
2020.07.10 09:30:13	03,025
2020.07.10 09:30:14	03,024
2020.07.10 09:30:15	03,023
2020.07.10 09:30:19	03,023
2020.07.10 09:30:20	03,024
2020.07.10 09:30:22	03,024
2020.07.10 09:30:23	03,023
2020.07.10 09:30:29	03,023
2020.07.10 09:30:30	03,022
2020.07.10 09:30:35	03,022
2020.07.10 09:30:36	03,021
2020.07.10 09:30:37	03,021
2020.07.10 09:30:38	03,022
2020.07.10 09:30:43	03,022
2020.07.10 09:30:44	03,021
2020.07.10 09:30:47	03,021
2020.07.10 09:30:48	03,020
2020.07.10 09:30:49	03,021
2020.07.10 09:30:52	03,021
2020.07.10 09:30:53	03,022
2020.07.10 09:30:54	03,022
2020.07.10 09:30:55	03,021
2020.07.10 09:30:56	03,020
2020.07.10 09:30:58	03,020
2020.07.10 09:30:59	03,019
2020.07.10 09:31:00	03,019
2020.07.10 09:31:01	03,018
2020.07.10 09:31:02	03,016
2020.07.10 09:31:03	03,017
2020.07.10 09:31:04	03,018
2020.07.10 09:31:05	03,018
2020.07.10 09:31:06	03,016
2020.07.10 09:31:07	03,016
2020.07.10 09:31:08	03,017
2020.07.10 09:31:09	03,016
2020.07.10 09:31:10	03,016
2020.07.10 09:31:11	03,017
2020.07.10 09:31:12	03,016
2020.07.10 09:31:13	03,015
2020.07.10 09:31:14	03,016
2020.07.10 09:31:15	03,015
2020.07.10 09:31:16	03,014
2020.07.10 09:31:17	03,013
2020.07.10 09:31:18	03,014
2020.07.10 09:31:19	03,013
2020.07.10 09:31:20	03,013
2020.07.10 09:31:21	03,014
2020.07.10 09:31:22	03,015
2020.07.10 09:31:23	03,015
2020.07.10 09:31:24	03,014
2020.07.10 09:31:25	03,015
2020.07.10 09:31:26	03,014
2020.07.10 09:31:27	03,013
2020.07.10 09:31:28	03,013
2020.07.10 09:31:29	03,014
2020.07.10 09:31:30	03,013
2020.07.10 09:31:31	03,013
2020.07.10 09:31:32	03,014
2020.07.10 09:31:35	03,014
2020.07.10 09:31:36	03,015
2020.07.10 09:31:37	03,016
2020.07.10 09:31:38	03,016
2020.07.10 09:31:39	03,015
2020.07.10 09:31:40	03,015
2020.07.10 09:31:41	03,014
2020.07.10 09:31:42	03,013
2020.07.10 09:31:43	03,014
2020.07.10 09:31:44	03,015
2020.07.10 09:31:45	03,015
2020.07.10 09:31:46	03,014
2020.07.10 09:31:47	03,015
2020.07.10 09:31:48	03,015
2020.07.10 09:31:49	03,014
2020.07.10 09:31:50	03,013
2020.07.10 09:31:51	03,013
2020.07.10 09:31:52	03,012
2020.07.10 09:31:53	03,012
2020.07.10 09:31:54	03,013
2020.07.10 09:31:55	03,013
2020.07.10 09:31:56	03,012
2020.07.10 09:31:57	03,013
2020.07.10 09:31:58	03,014
2020.07.10 09:32:00	03,014
2020.07.10 09:32:01	03,015
2020.07.10 09:32:02	03,015
2020.07.10 09:32:03	03,014
2020.07.10 09:32:04	03,014
2020.07.10 09:32:05	03,015
2020.07.10 09:32:06	03,015
2020.07.10 09:32:07	03,014
2020.07.10 09:32:08	03,016
2020.07.10 09:32:09	03,017
2020.07.10 09:32:10	03,016
2020.07.10 09:32:11	03,015
2020.07.10 09:32:12	03,015
2020.07.10 09:32:13	03,016
2020.07.10 09:32:14	03,015
2020.07.10 09:32:15	03,016
2020.07.10 09:32:18	03,016
2020.07.10 09:32:19	03,017
2020.07.10 09:32:20	03,017
2020.07.10 09:32:21	03,016
2020.07.10 09:32:22	03,015
2020.07.10 09:32:23	03,016
2020.07.10 09:32:24	03,016
2020.07.10 09:32:25	03,014
2020.07.10 09:32:26	03,014
2020.07.10 09:32:27	03,016
2020.07.10 09:32:28	03,016
2020.07.10 09:32:29	03,015
2020.07.10 09:32:30	03,016
2020.07.10 09:32:31	03,016
2020.07.10 09:32:32	03,015
2020.07.10 09:32:34	03,015
2020.07.10 09:32:35	03,014
2020.07.10 09:32:36	03,013
2020.07.10 09:32:37	03,015
2020.07.10 09:32:38	03,015
2020.07.10 09:32:39	03,016
2020.07.10 09:32:40	03,016
2020.07.10 09:32:41	03,017
2020.07.10 09:32:42	03,017
2020.07.10 09:32:43	03,018
2020.07.10 09:32:44	03,018
2020.07.10 09:32:45	03,017
2020.07.10 09:32:46	03,017
2020.07.10 09:32:47	03,015
2020.07.10 09:32:48	03,016
2020.07.10 09:32:49	03,016
2020.07.10 09:32:50	03,015
2020.07.10 09:32:51	03,015
2020.07.10 09:32:52	03,017
2020.07.10 09:32:55	03,017
2020.07.10 09:32:56	03,016
2020.07.10 09:32:57	03,015
2020.07.10 09:32:58	03,015
2020.07.10 09:32:59	03,016
2020.07.10 09:33:00	03,017
2020.07.10 09:33:01	03,015
2020.07.10 09:33:02	03,016
2020.07.10 09:33:03	03,017
2020.07.10 09:33:04	03,018
2020.07.10 09:33:07	03,018
2020.07.10 09:33:08	03,016
2020.07.10 09:33:09	03,016
2020.07.10 09:33:10	03,017
2020.07.10 09:33:11	03,017
2020.07.10 09:33:12	03,016
2020.07.10 09:33:13	03,016
2020.07.10 09:33:14	03,017
2020.07.10 09:33:15	03,018
2020.07.10 09:33:16	03,017
2020.07.10 09:33:18	03,017
2020.07.10 09:33:19	03,016
2020.07.10 09:33:20	03,017
2020.07.10 09:33:21	03,018
2020.07.10 09:33:22	03,019
2020.07.10 09:33:23	03,018
2020.07.10 09:33:24	03,018
2020.07.10 09:33:25	03,019
2020.07.10 09:33:26	03,018
2020.07.10 09:33:27	03,015
2020.07.10 09:33:29	03,015
2020.07.10 09:33:30	03,014
2020.07.10 09:33:31	03,015
2020.07.10 09:33:32	03,016
2020.07.10 09:33:35	03,016
2020.07.10 09:33:36	03,017
2020.07.10 09:33:37	03,017
2020.07.10 09:33:38	03,016
2020.07.10 09:33:39	03,016
2020.07.10 09:33:40	03,016
2020.07.10 09:33:41	03,015
2020.07.10 09:33:42	03,016
2020.07.10 09:33:43	03,019
2020.07.10 09:33:44	03,020
2020.07.10 09:33:45	03,018
2020.07.10 09:33:46	03,018
2020.07.10 09:33:47	03,017
2020.07.10 09:33:48	03,017
2020.07.10 09:33:49	03,018
2020.07.10 09:33:50	03,018
2020.07.10 09:33:51	03,016
2020.07.10 09:33:52	03,015
2020.07.10 09:33:53	03,015
2020.07.10 09:33:54	03,016
2020.07.10 09:33:55	03,015
2020.07.10 09:33:56	03,014
2020.07.10 09:33:57	03,014
2020.07.10 09:33:58	03,015
2020.07.10 09:33:59	03,016
2020.07.10 09:34:00	03,015
2020.07.10 09:34:01	03,015
2020.07.10 09:34:02	03,013
2020.07.10 09:34:03	03,013
2020.07.10 09:34:04	03,014
2020.07.10 09:34:05	03,015
2020.07.10 09:34:06	03,013
2020.07.10 09:34:07	03,013
2020.07.10 09:34:08	03,015
2020.07.10 09:34:10	03,015
2020.07.10 09:34:11	03,014
2020.07.10 09:34:12	03,014
2020.07.10 09:34:13	03,013
2020.07.10 09:34:14	03,013
2020.07.10 09:34:15	03,015
2020.07.10 09:34:16	03,015
2020.07.10 09:34:17	03,013
2020.07.10 09:34:18	03,013
2020.07.10 09:34:19	03,014
2020.07.10 09:34:20	03,014
2020.07.10 09:34:21	03,013
2020.07.10 09:34:23	03,013
2020.07.10 09:34:24	03,012
2020.07.10 09:34:25	03,012
2020.07.10 09:34:26	03,014
2020.07.10 09:34:27	03,014
2020.07.10 09:34:28	03,013
2020.07.10 09:34:29	03,014
2020.07.10 09:34:30	03,016
2020.07.10 09:34:31	03,016
2020.07.10 09:34:32	03,015
2020.07.10 09:34:33	03,015
2020.07.10 09:34:34	03,014
2020.07.10 09:34:35	03,013
2020.07.10 09:34:36	03,013
2020.07.10 09:34:37	03,014
2020.07.10 09:34:38	03,014
2020.07.10 09:34:39	03,012
2020.07.10 09:34:40	03,012
2020.07.10 09:34:41	03,014
2020.07.10 09:34:42	03,013
2020.07.10 09:34:44	03,013
2020.07.10 09:34:45	03,012
2020.07.10 09:34:46	03,011
2020.07.10 09:34:47	03,012
2020.07.10 09:34:48	03,014
2020.07.10 09:34:49	03,013
2020.07.10 09:34:50	03,012
2020.07.10 09:34:51	03,014
2020.07.10 09:34:52	03,015
2020.07.10 09:34:53	03,014
2020.07.10 09:34:54	03,013
2020.07.10 09:34:55	03,013
2020.07.10 09:34:56	03,012
2020.07.10 09:34:57	03,011
2020.07.10 09:34:58	03,013
2020.07.10 09:34:59	03,014
2020.07.10 09:35:00	03,013
2020.07.10 09:35:01	03,012
2020.07.10 09:35:02	03,014
2020.07.10 09:35:03	03,015
2020.07.10 09:35:04	03,014
2020.07.10 09:35:05	03,013
2020.07.10 09:35:06	03,013
2020.07.10 09:35:07	03,012
2020.07.10 09:35:08	03,013
2020.07.10 09:35:09	03,016
2020.07.10 09:35:10	03,018
2020.07.10 09:35:11	03,017
2020.07.10 09:35:12	03,016
2020.07.10 09:35:13	03,018
2020.07.10 09:35:14	03,019
2020.07.10 09:35:15	03,017
2020.07.10 09:35:16	03,016
2020.07.10 09:35:17	03,017
2020.07.10 09:35:18	03,016
2020.07.10 09:35:19	03,015
2020.07.10 09:35:20	03,017
2020.07.10 09:35:21	03,017
2020.07.10 09:35:22	03,015
2020.07.10 09:35:23	03,015
2020.07.10 09:35:24	03,018
2020.07.10 09:35:25	03,018
2020.07.10 09:35:26	03,016
2020.07.10 09:35:28	03,016
2020.07.10 09:35:29	03,014
2020.07.10 09:35:30	03,014
2020.07.10 09:35:31	03,017
2020.07.10 09:35:32	03,018
2020.07.10 09:35:33	03,016
2020.07.10 09:35:34	03,016
2020.07.10 09:35:35	03,018
2020.07.10 09:35:36	03,018
2020.07.10 09:35:37	03,016
2020.07.10 09:35:38	03,016
2020.07.10 09:35:39	03,015
2020.07.10 09:35:40	03,013
2020.07.10 09:35:41	03,014
2020.07.10 09:35:42	03,016
2020.07.10 09:35:43	03,016
2020.07.10 09:35:44	03,014
2020.07.10 09:35:45	03,016
2020.07.10 09:35:46	03,017
2020.07.10 09:35:47	03,016
2020.07.10 09:35:48	03,015
2020.07.10 09:35:49	03,015
2020.07.10 09:35:50	03,013
2020.07.10 09:35:51	03,012
2020.07.10 09:35:52	03,013
2020.07.10 09:35:53	03,015
2020.07.10 09:35:54	03,015
2020.07.10 09:35:55	03,013
2020.07.10 09:35:56	03,015
2020.07.10 09:35:57	03,016
2020.07.10 09:35:58	03,015
2020.07.10 09:35:59	03,014
2020.07.10 09:36:00	03,013
2020.07.10 09:36:01	03,011
2020.07.10 09:36:02	03,009
2020.07.10 09:36:03	03,011
2020.07.10 09:36:04	03,013
2020.07.10 09:36:05	03,011
2020.07.10 09:36:06	03,010
2020.07.10 09:36:07	03,012
2020.07.10 09:36:08	03,013
2020.07.10 09:36:09	03,011
2020.07.10 09:36:11	03,011
2020.07.10 09:36:12	03,009
2020.07.10 09:36:13	03,008
2020.07.10 09:36:14	03,010
2020.07.10 09:36:15	03,012
2020.07.10 09:36:16	03,011
2020.07.10 09:36:17	03,010
2020.07.10 09:36:18	03,012
2020.07.10 09:36:19	03,012
2020.07.10 09:36:20	03,010
2020.07.10 09:36:21	03,009
2020.07.10 09:36:22	03,009
2020.07.10 09:36:23	03,008
2020.07.10 09:36:24	03,007
2020.07.10 09:36:25	03,009
2020.07.10 09:36:26	03,010
2020.07.10 09:36:27	03,009
2020.07.10 09:36:28	03,009
2020.07.10 09:36:29	03,010
2020.07.10 09:36:30	03,010
2020.07.10 09:36:31	03,008
2020.07.10 09:36:32	03,009
2020.07.10 09:36:33	03,009
2020.07.10 09:36:34	03,006
2020.07.10 09:36:35	03,006
2020.07.10 09:36:36	03,008
2020.07.10 09:36:37	03,009
2020.07.10 09:36:38	03,008
2020.07.10 09:36:39	03,009
2020.07.10 09:36:40	03,010
2020.07.10 09:36:41	03,009
2020.07.10 09:36:42	03,008
2020.07.10 09:36:44	03,008
2020.07.10 09:36:45	03,007
2020.07.10 09:36:46	03,006
2020.07.10 09:36:47	03,008
2020.07.10 09:36:48	03,009
2020.07.10 09:36:49	03,008
2020.07.10 09:36:50	03,008
2020.07.10 09:36:51	03,009
2020.07.10 09:36:52	03,008
2020.07.10 09:36:53	03,007
2020.07.10 09:36:55	03,007
2020.07.10 09:36:56	03,005
2020.07.10 09:36:57	03,006
2020.07.10 09:36:58	03,008
2020.07.10 09:36:59	03,008
2020.07.10 09:37:00	03,007
2020.07.10 09:37:01	03,008
2020.07.10 09:37:02	03,009
2020.07.10 09:37:03	03,007
2020.07.10 09:37:04	03,006
2020.07.10 09:37:05	03,006
2020.07.10 09:37:06	03,005
2020.07.10 09:37:07	03,004
2020.07.10 09:37:08	03,004
2020.07.10 09:37:09	03,006
2020.07.10 09:37:11	03,006
2020.07.10 09:37:12	03,007
2020.07.10 09:37:13	03,008
2020.07.10 09:37:14	03,006
2020.07.10 09:37:15	03,005
2020.07.10 09:37:16	03,005
2020.07.10 09:37:17	03,004
2020.07.10 09:37:18	03,003
2020.07.10 09:37:19	03,005
2020.07.10 09:37:20	03,007
2020.07.10 09:37:21	03,006
2020.07.10 09:37:22	03,006
2020.07.10 09:37:23	03,008
2020.07.10 09:37:24	03,008
2020.07.10 09:37:25	03,005
2020.07.10 09:37:27	03,005
2020.07.10 09:37:28	03,004
2020.07.10 09:37:29	03,003
2020.07.10 09:37:30	03,005
2020.07.10 09:37:31	03,007
2020.07.10 09:37:32	03,006
2020.07.10 09:37:33	03,005
2020.07.10 09:37:34	03,007
2020.07.10 09:37:35	03,006
2020.07.10 09:37:36	03,004
2020.07.10 09:37:37	03,004
2020.07.10 09:37:38	03,005
2020.07.10 09:37:39	03,003
2020.07.10 09:37:40	03,002
2020.07.10 09:37:41	03,004
2020.07.10 09:37:42	03,006
2020.07.10 09:37:43	03,005
2020.07.10 09:37:44	03,006
2020.07.10 09:37:45	03,008
2020.07.10 09:37:46	03,007
2020.07.10 09:37:47	03,005
2020.07.10 09:37:48	03,004
2020.07.10 09:37:49	03,005
2020.07.10 09:37:50	03,003
2020.07.10 09:37:51	03,002
2020.07.10 09:37:52	03,004
2020.07.10 09:37:53	03,006
2020.07.10 09:37:54	03,005
2020.07.10 09:37:55	03,005
2020.07.10 09:37:56	03,007
2020.07.10 09:37:57	03,006
2020.07.10 09:37:58	03,005
2020.07.10 09:38:00	03,005
2020.07.10 09:38:01	03,003
2020.07.10 09:38:02	03,002
2020.07.10 09:38:03	03,005
2020.07.10 09:38:04	03,006
2020.07.10 09:38:05	03,005
2020.07.10 09:38:06	03,005
2020.07.10 09:38:07	03,007
2020.07.10 09:38:08	03,006
2020.07.10 09:38:09	03,003
2020.07.10 09:38:10	03,004
2020.07.10 09:38:11	03,003
2020.07.10 09:38:12	03,002
2020.07.10 09:38:13	03,003
2020.07.10 09:38:14	03,005
2020.07.10 09:38:15	03,005
2020.07.10 09:38:16	03,004
2020.07.10 09:38:17	03,004
2020.07.10 09:38:18	03,005
2020.07.10 09:38:19	03,004
2020.07.10 09:38:20	03,003
2020.07.10 09:38:22	03,003
2020.07.10 09:38:23	03,002
2020.07.10 09:38:24	03,002
2020.07.10 09:38:25	03,004
2020.07.10 09:38:26	03,004
2020.07.10 09:38:27	03,003
2020.07.10 09:38:28	03,005
2020.07.10 09:38:29	03,005
2020.07.10 09:38:30	03,003
2020.07.10 09:38:31	03,002
2020.07.10 09:38:33	03,002
2020.07.10 09:38:34	03,001
2020.07.10 09:38:35	03,002
2020.07.10 09:38:36	03,003
2020.07.10 09:38:38	03,003
2020.07.10 09:38:39	03,004
2020.07.10 09:38:40	03,004
2020.07.10 09:38:41	03,003
2020.07.10 09:38:42	03,002
2020.07.10 09:38:44	03,002
2020.07.10 09:38:45	03,001
2020.07.10 09:38:46	03,002
2020.07.10 09:38:47	03,003
2020.07.10 09:38:48	03,003
2020.07.10 09:38:49	03,002
2020.07.10 09:38:50	03,003
2020.07.10 09:38:51	03,003
2020.07.10 09:38:52	03,002
2020.07.10 09:38:54	03,002
2020.07.10 09:38:55	03,000
2020.07.10 09:38:56	02,999
2020.07.10 09:38:57	03,001
2020.07.10 09:38:58	03,002
2020.07.10 09:38:59	03,001
2020.07.10 09:39:00	03,002
2020.07.10 09:39:01	03,003
2020.07.10 09:39:02	03,002
2020.07.10 09:39:03	03,000
2020.07.10 09:39:04	03,001
2020.07.10 09:39:05	03,001
2020.07.10 09:39:06	02,999
2020.07.10 09:39:07	03,000
2020.07.10 09:39:08	03,001
2020.07.10 09:39:09	03,000
2020.07.10 09:39:10	03,000
2020.07.10 09:39:11	03,002
2020.07.10 09:39:13	03,002
2020.07.10 09:39:14	03,001
2020.07.10 09:39:15	03,001
