 	K1: SI:1
 	V AD
 	 
2020.07.07 07:27:21	000,00
2020.07.07 09:23:50	000,00
2020.07.07 09:23:51	 
2020.07.07 09:23:52	000,00
2020.07.07 09:24:04	000,00
2020.07.07 09:24:05	 
2020.07.07 09:24:06	000,00
2020.07.07 10:18:09	000,00
2020.07.07 10:18:10	034,77E-3
2020.07.07 10:18:11	091,29E-3
2020.07.07 10:18:12	091,30E-3
2020.07.07 10:18:13	091,21E-3
2020.07.07 10:18:14	090,98E-3
2020.07.07 10:18:15	090,86E-3
2020.07.07 10:18:16	090,80E-3
2020.07.07 10:18:17	090,77E-3
2020.07.07 10:18:18	090,86E-3
2020.07.07 10:18:19	083,62E-3
2020.07.07 10:18:20	1,8202
2020.07.07 10:18:21	0L
2020.07.07 10:18:22	02,645
2020.07.07 10:18:23	2,9976
2020.07.07 10:18:24	2,9575
2020.07.07 10:18:25	2,9374
2020.07.07 10:18:26	2,9404
2020.07.07 10:18:27	2,9481
2020.07.07 10:18:28	2,9472
2020.07.07 10:18:29	2,9477
2020.07.07 10:18:30	2,9500
2020.07.07 10:18:31	2,9486
2020.07.07 10:18:32	2,9520
2020.07.07 10:18:33	2,9652
2020.07.07 10:18:34	2,9673
2020.07.07 10:18:35	2,9667
2020.07.07 10:18:36	2,9679
2020.07.07 10:18:37	2,9677
2020.07.07 10:18:38	2,9669
2020.07.07 10:18:39	2,9659
2020.07.07 10:18:40	2,9666
2020.07.07 10:18:41	2,9672
2020.07.07 10:18:42	2,9681
2020.07.07 10:18:43	2,9684
2020.07.07 10:18:44	2,9674
2020.07.07 10:18:45	2,9662
2020.07.07 10:18:46	2,9656
2020.07.07 10:18:47	2,9664
2020.07.07 10:18:48	2,9666
2020.07.07 10:18:49	2,9657
2020.07.07 10:18:50	2,9659
2020.07.07 10:18:51	2,9658
2020.07.07 10:18:52	2,9653
2020.07.07 10:18:53	2,9657
2020.07.07 10:18:54	2,9675
2020.07.07 10:18:55	2,9676
2020.07.07 10:18:56	2,9670
2020.07.07 10:18:57	2,9672
2020.07.07 10:18:58	2,9671
2020.07.07 10:18:59	2,9670
2020.07.07 10:19:00	2,9673
2020.07.07 10:19:01	2,9677
2020.07.07 10:19:02	2,9679
2020.07.07 10:19:03	2,9686
2020.07.07 10:19:04	2,9691
2020.07.07 10:19:05	2,9686
2020.07.07 10:19:06	2,9683
2020.07.07 10:19:07	2,9680
2020.07.07 10:19:08	2,9680
2020.07.07 10:19:09	2,9686
2020.07.07 10:19:10	2,9690
2020.07.07 10:19:11	2,9687
2020.07.07 10:19:12	2,9692
2020.07.07 10:19:13	2,9693
2020.07.07 10:19:14	2,9687
2020.07.07 10:19:15	2,9689
2020.07.07 10:19:16	2,9692
2020.07.07 10:19:17	2,9695
2020.07.07 10:19:18	2,9693
2020.07.07 10:19:19	2,9685
2020.07.07 10:19:20	2,9677
2020.07.07 10:19:21	2,9678
2020.07.07 10:19:22	2,9688
2020.07.07 10:19:23	2,9688
2020.07.07 10:19:24	2,9684
2020.07.07 10:19:25	2,9692
2020.07.07 10:19:26	2,9693
2020.07.07 10:19:27	2,9693
2020.07.07 10:19:28	2,9687
2020.07.07 10:19:29	2,9681
2020.07.07 10:19:30	2,9684
2020.07.07 10:19:31	2,9679
2020.07.07 10:19:32	2,9670
2020.07.07 10:19:33	2,9668
2020.07.07 10:19:34	2,9661
2020.07.07 10:19:35	2,9648
2020.07.07 10:19:36	2,9648
2020.07.07 10:19:37	2,9652
2020.07.07 10:19:38	2,9641
2020.07.07 10:19:39	2,9641
2020.07.07 10:19:40	2,9646
2020.07.07 10:19:41	2,9644
2020.07.07 10:19:42	2,9642
2020.07.07 10:19:43	2,9636
2020.07.07 10:19:44	2,9636
2020.07.07 10:19:45	2,9637
2020.07.07 10:19:46	2,9636
2020.07.07 10:19:47	2,9640
2020.07.07 10:19:48	2,9643
2020.07.07 10:19:49	2,9637
2020.07.07 10:19:50	2,9635
2020.07.07 10:19:51	2,9633
2020.07.07 10:19:52	2,9634
2020.07.07 10:19:53	2,9640
2020.07.07 10:19:54	2,9644
2020.07.07 10:19:55	2,9644
2020.07.07 10:19:56	2,9641
2020.07.07 10:19:57	2,9637
2020.07.07 10:19:58	2,9641
2020.07.07 10:19:59	2,9644
2020.07.07 10:20:00	2,9641
2020.07.07 10:20:01	2,9641
2020.07.07 10:20:02	2,9650
2020.07.07 10:20:03	2,9663
2020.07.07 10:20:04	2,9664
2020.07.07 10:20:05	2,9667
2020.07.07 10:20:06	2,9673
2020.07.07 10:20:07	2,9673
2020.07.07 10:20:08	2,9671
2020.07.07 10:20:09	2,9680
2020.07.07 10:20:10	2,9690
2020.07.07 10:20:11	2,9688
2020.07.07 10:20:12	2,9696
2020.07.07 10:20:13	2,9708
2020.07.07 10:20:14	2,9708
2020.07.07 10:20:15	2,9707
2020.07.07 10:20:16	2,9711
2020.07.07 10:20:17	2,9714
2020.07.07 10:20:18	2,9708
2020.07.07 10:20:19	2,9710
2020.07.07 10:20:20	2,9715
2020.07.07 10:20:21	2,9714
2020.07.07 10:20:22	2,9713
2020.07.07 10:20:23	2,9718
2020.07.07 10:20:24	2,9727
2020.07.07 10:20:25	2,9733
2020.07.07 10:20:26	2,9732
2020.07.07 10:20:27	2,9728
2020.07.07 10:20:28	2,9727
2020.07.07 10:20:29	2,9726
2020.07.07 10:20:30	2,9730
2020.07.07 10:20:31	2,9726
2020.07.07 10:20:32	2,9723
2020.07.07 10:20:33	2,9725
2020.07.07 10:20:34	2,9723
2020.07.07 10:20:35	2,9724
2020.07.07 10:20:36	2,9727
2020.07.07 10:20:37	2,9728
2020.07.07 10:20:38	2,9728
2020.07.07 10:20:39	2,9727
2020.07.07 10:20:40	2,9725
2020.07.07 10:20:41	2,9725
2020.07.07 10:20:42	2,9721
2020.07.07 10:20:43	2,9717
2020.07.07 10:20:44	2,9722
2020.07.07 10:20:45	2,9729
2020.07.07 10:20:46	2,9728
2020.07.07 10:20:47	2,9725
2020.07.07 10:20:48	2,9727
2020.07.07 10:20:49	2,9727
2020.07.07 10:20:50	2,9723
2020.07.07 10:20:51	2,9721
2020.07.07 10:20:52	2,9724
2020.07.07 10:20:53	2,9726
2020.07.07 10:20:54	2,9730
2020.07.07 10:20:55	2,9735
2020.07.07 10:20:56	2,9736
2020.07.07 10:20:57	2,9729
2020.07.07 10:20:58	2,9723
2020.07.07 10:20:59	2,9724
2020.07.07 10:21:00	2,9720
2020.07.07 10:21:01	2,9719
2020.07.07 10:21:02	2,9716
2020.07.07 10:21:03	2,9715
2020.07.07 10:21:04	2,9719
2020.07.07 10:21:05	2,9719
2020.07.07 10:21:06	2,9727
2020.07.07 10:21:07	2,9734
2020.07.07 10:21:08	2,9727
2020.07.07 10:21:09	2,9725
2020.07.07 10:21:10	2,9732
2020.07.07 10:21:11	2,9728
2020.07.07 10:21:12	2,9720
2020.07.07 10:21:13	2,9718
2020.07.07 10:21:14	2,9719
2020.07.07 10:21:15	2,9720
2020.07.07 10:21:16	2,9730
2020.07.07 10:21:17	2,9745
2020.07.07 10:21:18	2,9755
2020.07.07 10:21:19	2,9760
2020.07.07 10:21:20	2,9758
2020.07.07 10:21:21	2,9752
2020.07.07 10:21:22	2,9743
2020.07.07 10:21:23	2,9728
2020.07.07 10:21:24	2,9713
2020.07.07 10:21:25	2,9704
2020.07.07 10:21:26	2,9696
2020.07.07 10:21:27	2,9689
2020.07.07 10:21:28	2,9688
2020.07.07 10:21:29	2,9685
2020.07.07 10:21:30	2,9680
2020.07.07 10:21:31	2,9676
2020.07.07 10:21:32	2,9671
2020.07.07 10:21:33	2,9668
2020.07.07 10:21:34	2,9672
2020.07.07 10:21:35	2,9677
2020.07.07 10:21:36	2,9686
2020.07.07 10:21:37	2,9697
2020.07.07 10:21:38	2,9705
2020.07.07 10:21:39	2,9711
2020.07.07 10:21:40	2,9717
2020.07.07 10:21:41	2,9718
2020.07.07 10:21:42	2,9723
2020.07.07 10:21:43	2,9727
2020.07.07 10:21:44	2,9726
2020.07.07 10:21:45	2,9724
2020.07.07 10:21:46	2,9724
2020.07.07 10:21:47	2,9725
2020.07.07 10:21:48	2,9724
2020.07.07 10:21:49	2,9726
2020.07.07 10:21:50	2,9734
2020.07.07 10:21:51	2,9742
2020.07.07 10:21:52	2,9743
2020.07.07 10:21:53	2,9741
2020.07.07 10:21:54	2,9737
2020.07.07 10:21:55	2,9730
2020.07.07 10:21:56	2,9727
2020.07.07 10:21:57	2,9731
2020.07.07 10:21:58	2,9732
2020.07.07 10:21:59	2,9728
2020.07.07 10:22:00	2,9733
2020.07.07 10:22:01	2,9742
2020.07.07 10:22:02	2,9739
2020.07.07 10:22:03	2,9738
2020.07.07 10:22:04	2,9741
2020.07.07 10:22:05	2,9734
2020.07.07 10:22:06	2,9729
2020.07.07 10:22:07	2,9733
2020.07.07 10:22:08	2,9730
2020.07.07 10:22:09	2,9721
2020.07.07 10:22:10	2,9724
2020.07.07 10:22:11	2,9734
2020.07.07 10:22:12	2,9736
2020.07.07 10:22:13	2,9735
2020.07.07 10:22:14	2,9735
2020.07.07 10:22:15	2,9734
2020.07.07 10:22:16	2,9732
2020.07.07 10:22:17	2,9728
2020.07.07 10:22:18	2,9728
2020.07.07 10:22:19	2,9729
2020.07.07 10:22:20	2,9730
2020.07.07 10:22:21	2,9733
2020.07.07 10:22:22	2,9740
2020.07.07 10:22:23	2,9741
2020.07.07 10:22:24	2,9737
2020.07.07 10:22:25	2,9735
2020.07.07 10:22:26	2,9729
2020.07.07 10:22:27	2,9720
2020.07.07 10:22:28	2,9715
2020.07.07 10:22:29	2,9716
2020.07.07 10:22:30	2,9716
2020.07.07 10:22:31	2,9719
2020.07.07 10:22:32	2,9723
2020.07.07 10:22:33	2,9728
2020.07.07 10:22:34	2,9731
2020.07.07 10:22:35	2,9729
2020.07.07 10:22:36	2,9729
2020.07.07 10:22:37	2,9721
2020.07.07 10:22:38	2,9715
2020.07.07 10:22:39	2,9714
2020.07.07 10:22:40	2,9715
2020.07.07 10:22:41	2,9717
2020.07.07 10:22:42	2,9719
2020.07.07 10:22:43	2,9722
2020.07.07 10:22:44	2,9724
2020.07.07 10:22:45	2,9722
2020.07.07 10:22:46	2,9715
2020.07.07 10:22:47	2,9710
2020.07.07 10:22:48	2,9706
2020.07.07 10:22:49	2,9701
2020.07.07 10:22:50	2,9698
2020.07.07 10:22:51	2,9702
2020.07.07 10:22:52	2,9707
2020.07.07 10:22:53	2,9708
2020.07.07 10:22:54	2,9714
2020.07.07 10:22:55	2,9716
2020.07.07 10:22:56	2,9712
2020.07.07 10:22:57	2,9711
2020.07.07 10:22:58	2,9707
2020.07.07 10:22:59	2,9703
2020.07.07 10:23:00	2,9700
2020.07.07 10:23:01	2,9697
2020.07.07 10:23:02	2,9693
2020.07.07 10:23:03	2,9699
2020.07.07 10:23:04	2,9704
2020.07.07 10:23:05	2,9706
2020.07.07 10:23:06	2,9712
2020.07.07 10:23:07	2,9711
2020.07.07 10:23:08	2,9706
2020.07.07 10:23:09	2,9704
2020.07.07 10:23:10	2,9701
2020.07.07 10:23:11	2,9696
2020.07.07 10:23:12	2,9695
2020.07.07 10:23:13	2,9695
2020.07.07 10:23:14	2,9700
2020.07.07 10:23:15	2,9701
2020.07.07 10:23:16	2,9703
2020.07.07 10:23:17	2,9709
2020.07.07 10:23:18	2,9705
2020.07.07 10:23:19	2,9699
2020.07.07 10:23:20	2,9694
2020.07.07 10:23:21	2,9689
2020.07.07 10:23:22	2,9691
2020.07.07 10:23:24	2,9691
2020.07.07 10:23:25	2,9694
2020.07.07 10:23:26	2,9695
2020.07.07 10:23:27	2,9696
2020.07.07 10:23:28	2,9698
2020.07.07 10:23:29	2,9694
2020.07.07 10:23:30	2,9686
2020.07.07 10:23:31	2,9683
2020.07.07 10:23:32	2,9678
2020.07.07 10:23:33	2,9677
2020.07.07 10:23:34	2,9683
2020.07.07 10:23:35	2,9687
2020.07.07 10:23:36	2,9688
2020.07.07 10:23:37	2,9688
2020.07.07 10:23:38	2,9693
2020.07.07 10:23:39	2,9695
2020.07.07 10:23:40	2,9691
2020.07.07 10:23:41	2,9689
2020.07.07 10:23:42	2,9688
2020.07.07 10:23:43	2,9684
2020.07.07 10:23:44	2,9681
2020.07.07 10:23:45	2,9682
2020.07.07 10:23:46	2,9686
2020.07.07 10:23:47	2,9688
2020.07.07 10:23:48	2,9690
2020.07.07 10:23:49	2,9694
2020.07.07 10:23:50	2,9694
2020.07.07 10:23:51	2,9690
2020.07.07 10:23:52	2,9683
2020.07.07 10:23:53	2,9678
2020.07.07 10:23:54	2,9672
2020.07.07 10:23:55	2,9670
2020.07.07 10:23:56	2,9673
2020.07.07 10:23:57	2,9671
2020.07.07 10:23:58	2,9670
2020.07.07 10:23:59	2,9678
2020.07.07 10:24:00	2,9687
2020.07.07 10:24:01	2,9687
2020.07.07 10:24:02	2,9681
2020.07.07 10:24:03	2,9684
2020.07.07 10:24:04	2,9682
2020.07.07 10:24:05	2,9676
2020.07.07 10:24:06	2,9677
2020.07.07 10:24:07	2,9680
2020.07.07 10:24:08	2,9678
2020.07.07 10:24:09	2,9672
2020.07.07 10:24:10	2,9674
2020.07.07 10:24:11	2,9678
2020.07.07 10:24:12	2,9677
2020.07.07 10:24:13	2,9671
2020.07.07 10:24:14	2,9667
2020.07.07 10:24:15	2,9661
2020.07.07 10:24:16	2,9649
2020.07.07 10:24:17	2,9645
2020.07.07 10:24:18	2,9647
2020.07.07 10:24:19	2,9648
2020.07.07 10:24:20	2,9644
2020.07.07 10:24:21	2,9639
2020.07.07 10:24:22	2,9641
2020.07.07 10:24:23	2,9635
2020.07.07 10:24:24	2,9627
2020.07.07 10:24:25	2,9627
2020.07.07 10:24:26	2,9624
2020.07.07 10:24:27	2,9620
2020.07.07 10:24:28	2,9621
2020.07.07 10:24:29	2,9623
2020.07.07 10:24:30	2,9626
2020.07.07 10:24:31	2,9628
2020.07.07 10:24:32	2,9633
2020.07.07 10:24:33	2,9643
2020.07.07 10:24:34	2,9644
2020.07.07 10:24:35	2,9642
2020.07.07 10:24:36	2,9641
2020.07.07 10:24:37	2,9634
2020.07.07 10:24:38	2,9634
2020.07.07 10:24:39	2,9641
2020.07.07 10:24:40	2,9644
2020.07.07 10:24:41	2,9643
2020.07.07 10:24:42	2,9650
2020.07.07 10:24:43	2,9660
2020.07.07 10:24:44	2,9664
2020.07.07 10:24:45	2,9661
2020.07.07 10:24:46	2,9655
2020.07.07 10:24:47	2,9652
2020.07.07 10:24:48	2,9651
2020.07.07 10:24:49	2,9651
2020.07.07 10:24:50	2,9652
2020.07.07 10:24:51	2,9656
2020.07.07 10:24:52	2,9656
2020.07.07 10:24:53	2,9655
2020.07.07 10:24:54	2,9660
2020.07.07 10:24:55	2,9660
2020.07.07 10:24:56	2,9652
2020.07.07 10:24:57	2,9649
2020.07.07 10:24:58	2,9645
2020.07.07 10:24:59	2,9637
2020.07.07 10:25:00	2,9633
2020.07.07 10:25:01	2,9633
2020.07.07 10:25:02	2,9634
2020.07.07 10:25:03	2,9640
2020.07.07 10:25:04	2,9650
2020.07.07 10:25:05	2,9654
2020.07.07 10:25:06	2,9650
2020.07.07 10:25:07	2,9646
2020.07.07 10:25:08	2,9645
2020.07.07 10:25:09	2,9639
2020.07.07 10:25:10	2,9641
2020.07.07 10:25:11	2,9646
2020.07.07 10:25:12	2,9640
2020.07.07 10:25:13	2,9636
2020.07.07 10:25:14	2,9645
2020.07.07 10:25:15	2,9653
2020.07.07 10:25:16	2,9657
2020.07.07 10:25:17	2,9661
2020.07.07 10:25:18	2,9656
2020.07.07 10:25:19	2,9649
2020.07.07 10:25:20	2,9645
2020.07.07 10:25:21	2,9643
2020.07.07 10:25:22	2,9639
2020.07.07 10:25:23	2,9630
2020.07.07 10:25:24	2,9624
2020.07.07 10:25:25	2,9625
2020.07.07 10:25:26	2,9632
2020.07.07 10:25:27	2,9638
2020.07.07 10:25:28	2,9642
2020.07.07 10:25:29	2,9641
2020.07.07 10:25:30	2,9634
2020.07.07 10:25:31	2,9629
2020.07.07 10:25:32	2,9632
2020.07.07 10:25:33	2,9637
2020.07.07 10:25:34	2,9634
2020.07.07 10:25:35	2,9624
2020.07.07 10:25:36	2,9628
2020.07.07 10:25:37	2,9639
2020.07.07 10:25:38	2,9638
2020.07.07 10:25:39	2,9634
2020.07.07 10:25:40	2,9633
2020.07.07 10:25:41	2,9631
2020.07.07 10:25:42	2,9629
2020.07.07 10:25:43	2,9628
2020.07.07 10:25:44	2,9624
2020.07.07 10:25:45	2,9621
2020.07.07 10:25:46	2,9623
2020.07.07 10:25:47	2,9629
2020.07.07 10:25:48	2,9643
2020.07.07 10:25:49	2,9648
2020.07.07 10:25:50	2,9643
2020.07.07 10:25:51	2,9636
2020.07.07 10:25:52	2,9626
2020.07.07 10:25:53	2,9617
2020.07.07 10:25:54	2,9614
2020.07.07 10:25:55	2,9610
2020.07.07 10:25:56	2,9606
2020.07.07 10:25:57	2,9606
2020.07.07 10:25:58	2,9614
2020.07.07 10:25:59	2,9621
2020.07.07 10:26:00	2,9619
2020.07.07 10:26:01	2,9615
2020.07.07 10:26:02	2,9614
2020.07.07 10:26:03	2,9615
2020.07.07 10:26:04	2,9611
2020.07.07 10:26:05	2,9609
2020.07.07 10:26:06	2,9606
2020.07.07 10:26:07	2,9609
2020.07.07 10:26:08	2,9613
2020.07.07 10:26:09	2,9614
2020.07.07 10:26:10	2,9620
2020.07.07 10:26:11	2,9620
2020.07.07 10:26:12	2,9614
2020.07.07 10:26:13	2,9606
2020.07.07 10:26:14	2,9593
2020.07.07 10:26:15	2,9588
2020.07.07 10:26:16	2,9588
2020.07.07 10:26:17	2,9590
2020.07.07 10:26:18	2,9594
2020.07.07 10:26:19	2,9600
2020.07.07 10:26:20	2,9608
2020.07.07 10:26:21	2,9606
2020.07.07 10:26:22	2,9596
2020.07.07 10:26:23	2,9593
2020.07.07 10:26:24	2,9594
2020.07.07 10:26:25	2,9592
2020.07.07 10:26:26	2,9592
2020.07.07 10:26:27	2,9594
2020.07.07 10:26:28	2,9593
2020.07.07 10:26:29	2,9584
2020.07.07 10:26:30	2,9582
2020.07.07 10:26:31	2,9595
2020.07.07 10:26:32	2,9605
2020.07.07 10:26:33	2,9601
2020.07.07 10:26:34	2,9596
2020.07.07 10:26:35	2,9594
2020.07.07 10:26:36	2,9586
2020.07.07 10:26:37	2,9582
2020.07.07 10:26:38	2,9581
2020.07.07 10:26:39	2,9589
2020.07.07 10:26:40	2,9595
2020.07.07 10:26:41	2,9599
2020.07.07 10:26:42	2,9601
2020.07.07 10:26:43	2,9596
2020.07.07 10:26:44	2,9599
2020.07.07 10:26:45	2,9602
2020.07.07 10:26:46	2,9594
2020.07.07 10:26:47	2,9587
2020.07.07 10:26:48	2,9584
2020.07.07 10:26:49	2,9584
2020.07.07 10:26:50	2,9589
2020.07.07 10:26:51	2,9589
2020.07.07 10:26:52	2,9590
2020.07.07 10:26:53	2,9596
2020.07.07 10:26:54	2,9598
2020.07.07 10:26:55	2,9602
2020.07.07 10:26:56	2,9604
2020.07.07 10:26:57	2,9596
2020.07.07 10:26:58	2,9584
2020.07.07 10:26:59	2,9578
2020.07.07 10:27:00	2,9585
2020.07.07 10:27:01	2,9592
2020.07.07 10:27:02	2,9596
2020.07.07 10:27:03	2,9600
2020.07.07 10:27:04	2,9602
2020.07.07 10:27:05	2,9595
2020.07.07 10:27:06	2,9594
2020.07.07 10:27:07	2,9594
2020.07.07 10:27:08	2,9586
2020.07.07 10:27:09	2,9580
2020.07.07 10:27:10	2,9581
2020.07.07 10:27:11	2,9586
2020.07.07 10:27:12	2,9588
2020.07.07 10:27:13	2,9592
2020.07.07 10:27:14	2,9597
2020.07.07 10:27:15	2,9602
2020.07.07 10:27:16	2,9604
2020.07.07 10:27:17	2,9603
2020.07.07 10:27:18	2,9595
2020.07.07 10:27:19	2,9580
2020.07.07 10:27:20	2,9579
2020.07.07 10:27:21	2,9582
2020.07.07 10:27:22	2,9582
2020.07.07 10:27:23	2,9586
2020.07.07 10:27:24	2,9589
2020.07.07 10:27:25	2,9592
2020.07.07 10:27:26	2,9593
2020.07.07 10:27:27	2,9587
2020.07.07 10:27:28	2,9580
2020.07.07 10:27:29	2,9576
2020.07.07 10:27:30	2,9573
2020.07.07 10:27:31	2,9571
2020.07.07 10:27:32	2,9570
2020.07.07 10:27:33	2,9564
2020.07.07 10:27:34	2,9562
2020.07.07 10:27:35	2,9572
2020.07.07 10:27:36	2,9579
2020.07.07 10:27:37	2,9580
2020.07.07 10:27:38	2,9583
2020.07.07 10:27:39	2,9580
2020.07.07 10:27:40	2,9573
2020.07.07 10:27:41	2,9570
2020.07.07 10:27:42	2,9568
2020.07.07 10:27:43	2,9562
2020.07.07 10:27:44	2,9563
2020.07.07 10:27:45	2,9571
2020.07.07 10:27:46	2,9579
2020.07.07 10:27:47	2,9584
2020.07.07 10:27:48	2,9580
2020.07.07 10:27:49	2,9572
2020.07.07 10:27:50	2,9568
2020.07.07 10:27:51	2,9568
2020.07.07 10:27:52	2,9567
2020.07.07 10:27:53	2,9563
2020.07.07 10:27:54	2,9563
2020.07.07 10:27:55	2,9565
2020.07.07 10:27:56	2,9565
2020.07.07 10:27:57	2,9568
2020.07.07 10:27:58	2,9574
2020.07.07 10:27:59	2,9578
2020.07.07 10:28:00	2,9579
2020.07.07 10:28:01	2,9570
2020.07.07 10:28:02	2,9561
2020.07.07 10:28:03	2,9558
2020.07.07 10:28:04	2,9557
2020.07.07 10:28:05	2,9559
2020.07.07 10:28:06	2,9562
2020.07.07 10:28:07	2,9568
2020.07.07 10:28:08	2,9573
2020.07.07 10:28:09	2,9572
2020.07.07 10:28:10	2,9569
2020.07.07 10:28:11	2,9568
2020.07.07 10:28:12	2,9567
2020.07.07 10:28:13	2,9564
2020.07.07 10:28:14	2,9562
2020.07.07 10:28:15	2,9560
2020.07.07 10:28:16	2,9552
2020.07.07 10:28:17	2,9547
2020.07.07 10:28:18	2,9555
2020.07.07 10:28:19	2,9565
2020.07.07 10:28:20	2,9571
2020.07.07 10:28:21	2,9570
2020.07.07 10:28:22	2,9569
2020.07.07 10:28:23	2,9565
2020.07.07 10:28:24	2,9555
2020.07.07 10:28:25	2,9550
2020.07.07 10:28:26	2,9552
2020.07.07 10:28:27	2,9553
2020.07.07 10:28:28	2,9559
2020.07.07 10:28:29	2,9568
2020.07.07 10:28:30	2,9567
2020.07.07 10:28:31	2,9564
2020.07.07 10:28:32	2,9561
2020.07.07 10:28:33	2,9557
2020.07.07 10:28:34	2,9550
2020.07.07 10:28:35	2,9542
2020.07.07 10:28:36	2,9540
2020.07.07 10:28:37	2,9539
2020.07.07 10:28:38	2,9537
2020.07.07 10:28:39	2,9540
2020.07.07 10:28:40	2,9547
2020.07.07 10:28:41	2,9553
2020.07.07 10:28:42	2,9558
2020.07.07 10:28:43	2,9562
2020.07.07 10:28:44	2,9561
2020.07.07 10:28:45	2,9550
2020.07.07 10:28:46	2,9538
2020.07.07 10:28:47	2,9536
