 	K1: SI:1
 	V AD
 	 
2020.07.08 04:55:02	 
2020.07.08 04:55:03	000,00
2020.07.08 04:55:04	000,00
2020.07.08 05:32:54	000,00
2020.07.08 05:32:55	073,16E-3
2020.07.08 05:32:56	090,70E-3
2020.07.08 05:32:57	090,70E-3
2020.07.08 05:32:58	083,12E-3
2020.07.08 05:32:59	083,12E-3
2020.07.08 05:33:00	2,0647
2020.07.08 05:33:01	0L
2020.07.08 05:33:02	02,654
2020.07.08 05:33:03	3,0130
2020.07.08 05:33:04	2,9732
2020.07.08 05:33:05	2,9686
2020.07.08 05:33:06	2,9713
2020.07.08 05:33:07	2,9725
2020.07.08 05:33:08	2,9719
2020.07.08 05:33:09	2,9724
2020.07.08 05:33:10	2,9726
2020.07.08 05:33:11	2,9743
2020.07.08 05:33:12	2,9888
2020.07.08 05:33:13	2,9920
2020.07.08 05:33:14	2,9911
2020.07.08 05:33:15	2,9941
2020.07.08 05:33:16	2,9977
2020.07.08 05:33:17	2,9988
2020.07.08 05:33:18	2,9984
2020.07.08 05:33:19	2,9990
2020.07.08 05:33:20	2,9996
2020.07.08 05:33:21	2,9993
2020.07.08 05:33:22	2,9992
2020.07.08 05:33:23	2,9991
2020.07.08 05:33:24	2,9990
2020.07.08 05:33:25	2,9988
2020.07.08 05:33:26	2,9982
2020.07.08 05:33:27	2,9977
2020.07.08 05:33:28	2,9968
2020.07.08 05:33:29	2,9955
2020.07.08 05:33:30	2,9953
2020.07.08 05:33:31	2,9948
2020.07.08 05:33:32	2,9949
2020.07.08 05:33:33	2,9955
2020.07.08 05:33:34	2,9964
2020.07.08 05:33:35	2,9970
2020.07.08 05:33:36	2,9961
2020.07.08 05:33:37	2,9957
2020.07.08 05:33:38	2,9963
2020.07.08 05:33:39	2,9962
2020.07.08 05:33:40	2,9956
2020.07.08 05:33:42	2,9956
2020.07.08 05:33:43	2,9948
2020.07.08 05:33:44	2,9950
2020.07.08 05:33:45	2,9957
2020.07.08 05:33:46	2,9958
2020.07.08 05:33:47	2,9956
2020.07.08 05:33:48	2,9961
2020.07.08 05:33:49	2,9963
2020.07.08 05:33:50	2,9960
2020.07.08 05:33:51	2,9970
2020.07.08 05:33:52	2,9982
2020.07.08 05:33:53	2,9985
2020.07.08 05:33:54	2,9979
2020.07.08 05:33:55	2,9982
2020.07.08 05:33:56	2,9991
2020.07.08 05:33:57	2,9992
2020.07.08 05:33:58	2,9994
2020.07.08 05:33:59	3,0004
2020.07.08 05:34:00	3,0016
2020.07.08 05:34:01	3,0020
2020.07.08 05:34:02	3,0021
2020.07.08 05:34:03	3,0041
2020.07.08 05:34:04	3,0055
2020.07.08 05:34:05	3,0055
2020.07.08 05:34:06	3,0061
2020.07.08 05:34:07	3,0073
2020.07.08 05:34:08	3,0071
2020.07.08 05:34:09	3,0060
2020.07.08 05:34:10	3,0066
2020.07.08 05:34:11	3,0080
2020.07.08 05:34:12	3,0088
2020.07.08 05:34:13	3,0095
2020.07.08 05:34:14	3,0111
2020.07.08 05:34:15	3,0139
2020.07.08 05:34:16	3,0149
2020.07.08 05:34:17	3,0149
2020.07.08 05:34:18	3,0157
2020.07.08 05:34:19	3,0168
2020.07.08 05:34:20	3,0178
2020.07.08 05:34:21	3,0173
2020.07.08 05:34:22	3,0172
2020.07.08 05:34:23	3,0175
2020.07.08 05:34:24	3,0173
2020.07.08 05:34:25	3,0177
2020.07.08 05:34:26	3,0179
2020.07.08 05:34:27	3,0170
2020.07.08 05:34:28	3,0169
2020.07.08 05:34:29	3,0185
2020.07.08 05:34:30	3,0189
2020.07.08 05:34:31	3,0174
2020.07.08 05:34:32	3,0162
2020.07.08 05:34:33	3,0162
2020.07.08 05:34:34	3,0158
2020.07.08 05:34:35	3,0152
2020.07.08 05:34:36	3,0156
2020.07.08 05:34:37	3,0156
2020.07.08 05:34:38	3,0152
2020.07.08 05:34:39	3,0152
2020.07.08 05:34:40	3,0158
2020.07.08 05:34:41	3,0158
2020.07.08 05:34:42	3,0154
2020.07.08 05:34:43	3,0155
2020.07.08 05:34:44	3,0154
2020.07.08 05:34:45	3,0156
2020.07.08 05:34:46	3,0154
2020.07.08 05:34:47	3,0150
2020.07.08 05:34:48	3,0151
2020.07.08 05:34:49	3,0147
2020.07.08 05:34:50	3,0146
2020.07.08 05:34:51	3,0147
2020.07.08 05:34:52	3,0142
2020.07.08 05:34:53	3,0138
2020.07.08 05:34:54	3,0138
2020.07.08 05:34:55	3,0141
2020.07.08 05:34:56	3,0142
2020.07.08 05:34:57	3,0132
2020.07.08 05:34:58	3,0131
2020.07.08 05:34:59	3,0136
2020.07.08 05:35:00	3,0135
2020.07.08 05:35:01	3,0139
2020.07.08 05:35:02	3,0137
2020.07.08 05:35:03	3,0128
2020.07.08 05:35:04	3,0124
2020.07.08 05:35:05	3,0127
2020.07.08 05:35:06	3,0127
2020.07.08 05:35:07	3,0122
2020.07.08 05:35:08	3,0122
2020.07.08 05:35:09	3,0129
2020.07.08 05:35:10	3,0122
2020.07.08 05:35:11	3,0119
2020.07.08 05:35:12	3,0130
2020.07.08 05:35:13	3,0127
2020.07.08 05:35:14	3,0118
2020.07.08 05:35:15	3,0120
2020.07.08 05:35:16	3,0121
2020.07.08 05:35:17	3,0114
2020.07.08 05:35:18	3,0113
2020.07.08 05:35:19	3,0113
2020.07.08 05:35:20	3,0114
2020.07.08 05:35:21	3,0119
2020.07.08 05:35:22	3,0122
2020.07.08 05:35:23	3,0120
2020.07.08 05:35:24	3,0118
2020.07.08 05:35:25	3,0118
2020.07.08 05:35:26	3,0111
2020.07.08 05:35:27	3,0107
2020.07.08 05:35:28	3,0109
2020.07.08 05:35:29	3,0115
2020.07.08 05:35:30	3,0118
2020.07.08 05:35:31	3,0117
2020.07.08 05:35:32	3,0114
2020.07.08 05:35:33	3,0115
2020.07.08 05:35:34	3,0118
2020.07.08 05:35:35	3,0114
2020.07.08 05:35:36	3,0112
2020.07.08 05:35:37	3,0112
2020.07.08 05:35:38	3,0110
2020.07.08 05:35:39	3,0102
2020.07.08 05:35:40	3,0105
2020.07.08 05:35:41	3,0114
2020.07.08 05:35:42	3,0115
2020.07.08 05:35:43	3,0118
2020.07.08 05:35:44	3,0113
2020.07.08 05:35:45	3,0102
2020.07.08 05:35:46	3,0103
2020.07.08 05:35:47	3,0111
2020.07.08 05:35:48	3,0117
2020.07.08 05:35:49	3,0112
2020.07.08 05:35:50	3,0104
2020.07.08 05:35:51	3,0110
2020.07.08 05:35:52	3,0120
2020.07.08 05:35:53	3,0118
2020.07.08 05:35:54	3,0114
2020.07.08 05:35:55	3,0117
2020.07.08 05:35:56	3,0113
2020.07.08 05:35:57	3,0108
2020.07.08 05:35:58	3,0109
2020.07.08 05:35:59	3,0107
2020.07.08 05:36:00	3,0099
2020.07.08 05:36:01	3,0103
2020.07.08 05:36:02	3,0114
2020.07.08 05:36:03	3,0109
2020.07.08 05:36:04	3,0105
2020.07.08 05:36:07	3,0105
2020.07.08 05:36:08	3,0099
2020.07.08 05:36:09	3,0104
2020.07.08 05:36:10	3,0099
2020.07.08 05:36:11	3,0091
2020.07.08 05:36:12	3,0096
2020.07.08 05:36:13	3,0096
2020.07.08 05:36:14	3,0087
2020.07.08 05:36:15	3,0081
2020.07.08 05:36:16	3,0084
2020.07.08 05:36:17	3,0082
2020.07.08 05:36:18	3,0076
2020.07.08 05:36:19	3,0077
2020.07.08 05:36:20	3,0083
2020.07.08 05:36:21	3,0084
2020.07.08 05:36:22	3,0079
2020.07.08 05:36:23	3,0086
2020.07.08 05:36:24	3,0092
2020.07.08 05:36:25	3,0085
2020.07.08 05:36:26	3,0090
2020.07.08 05:36:27	3,0092
2020.07.08 05:36:28	3,0086
2020.07.08 05:36:29	3,0081
2020.07.08 05:36:30	3,0083
2020.07.08 05:36:31	3,0085
2020.07.08 05:36:32	3,0082
2020.07.08 05:36:33	3,0088
2020.07.08 05:36:34	3,0090
2020.07.08 05:36:35	3,0083
2020.07.08 05:36:36	3,0080
2020.07.08 05:36:37	3,0088
2020.07.08 05:36:38	3,0085
2020.07.08 05:36:39	3,0078
2020.07.08 05:36:40	3,0085
2020.07.08 05:36:41	3,0086
2020.07.08 05:36:42	3,0084
2020.07.08 05:36:43	3,0081
2020.07.08 05:36:44	3,0080
2020.07.08 05:36:45	3,0086
2020.07.08 05:36:46	3,0080
2020.07.08 05:36:47	3,0079
2020.07.08 05:36:48	3,0083
2020.07.08 05:36:49	3,0082
2020.07.08 05:36:50	3,0079
2020.07.08 05:36:51	3,0076
2020.07.08 05:36:52	3,0074
2020.07.08 05:36:53	3,0069
2020.07.08 05:36:54	3,0066
2020.07.08 05:36:55	3,0071
2020.07.08 05:36:56	3,0078
2020.07.08 05:36:57	3,0071
2020.07.08 05:36:58	3,0069
2020.07.08 05:36:59	3,0069
2020.07.08 05:37:00	3,0067
2020.07.08 05:37:01	3,0066
2020.07.08 05:37:02	3,0063
2020.07.08 05:37:03	3,0062
2020.07.08 05:37:04	3,0057
2020.07.08 05:37:05	3,0057
2020.07.08 05:37:06	3,0063
2020.07.08 05:37:07	3,0061
2020.07.08 05:37:08	3,0059
2020.07.08 05:37:09	3,0065
2020.07.08 05:37:10	3,0064
2020.07.08 05:37:11	3,0056
2020.07.08 05:37:12	3,0056
2020.07.08 05:37:13	3,0059
2020.07.08 05:37:14	3,0059
2020.07.08 05:37:15	3,0054
2020.07.08 05:37:16	3,0055
2020.07.08 05:37:17	3,0060
2020.07.08 05:37:18	3,0053
2020.07.08 05:37:19	3,0055
2020.07.08 05:37:20	3,0063
2020.07.08 05:37:21	3,0058
2020.07.08 05:37:22	3,0055
2020.07.08 05:37:24	3,0055
2020.07.08 05:37:25	3,0051
2020.07.08 05:37:26	3,0049
2020.07.08 05:37:27	3,0055
2020.07.08 05:37:28	3,0057
2020.07.08 05:37:29	3,0058
2020.07.08 05:37:30	3,0060
2020.07.08 05:37:31	3,0061
2020.07.08 05:37:32	3,0054
2020.07.08 05:37:33	3,0050
2020.07.08 05:37:34	3,0051
2020.07.08 05:37:35	3,0053
2020.07.08 05:37:36	3,0050
2020.07.08 05:37:38	3,0050
2020.07.08 05:37:39	3,0049
2020.07.08 05:37:40	3,0053
2020.07.08 05:37:41	3,0059
2020.07.08 05:37:42	3,0052
2020.07.08 05:37:43	3,0044
2020.07.08 05:37:44	3,0043
2020.07.08 05:37:45	3,0043
2020.07.08 05:37:46	3,0046
2020.07.08 05:37:47	3,0046
2020.07.08 05:37:48	3,0047
2020.07.08 05:37:49	3,0050
2020.07.08 05:37:50	3,0045
2020.07.08 05:37:51	3,0043
2020.07.08 05:37:52	3,0049
2020.07.08 05:37:53	3,0047
2020.07.08 05:37:54	3,0045
2020.07.08 05:37:55	3,0045
2020.07.08 05:37:56	3,0043
2020.07.08 05:37:57	3,0037
2020.07.08 05:37:58	3,0035
2020.07.08 05:37:59	3,0040
2020.07.08 05:38:00	3,0041
2020.07.08 05:38:01	3,0034
2020.07.08 05:38:02	3,0033
2020.07.08 05:38:03	3,0046
2020.07.08 05:38:04	3,0044
2020.07.08 05:38:05	3,0041
2020.07.08 05:38:06	3,0043
2020.07.08 05:38:07	3,0040
2020.07.08 05:38:08	3,0037
2020.07.08 05:38:09	3,0036
2020.07.08 05:38:10	3,0040
2020.07.08 05:38:11	3,0041
2020.07.08 05:38:12	3,0034
2020.07.08 05:38:13	3,0033
2020.07.08 05:38:14	3,0032
2020.07.08 05:38:15	3,0033
2020.07.08 05:38:16	3,0035
2020.07.08 05:38:17	3,0030
2020.07.08 05:38:18	3,0029
2020.07.08 05:38:19	3,0027
2020.07.08 05:38:20	3,0026
2020.07.08 05:38:21	3,0035
2020.07.08 05:38:22	3,0035
2020.07.08 05:38:23	3,0033
2020.07.08 05:38:24	3,0042
2020.07.08 05:38:25	3,0043
2020.07.08 05:38:26	3,0032
2020.07.08 05:38:27	3,0022
2020.07.08 05:38:28	3,0021
2020.07.08 05:38:29	3,0018
2020.07.08 05:38:30	3,0015
2020.07.08 05:38:31	3,0015
2020.07.08 05:38:32	3,0018
2020.07.08 05:38:33	3,0022
2020.07.08 05:38:34	3,0021
2020.07.08 05:38:35	3,0022
2020.07.08 05:38:36	3,0023
2020.07.08 05:38:37	3,0024
2020.07.08 05:38:38	3,0023
2020.07.08 05:38:39	3,0021
2020.07.08 05:38:40	3,0024
2020.07.08 05:38:41	3,0022
2020.07.08 05:38:42	3,0020
2020.07.08 05:38:43	3,0018
2020.07.08 05:38:44	3,0016
2020.07.08 05:38:45	3,0015
2020.07.08 05:38:46	3,0018
2020.07.08 05:38:47	3,0022
2020.07.08 05:38:48	3,0017
2020.07.08 05:38:49	3,0015
2020.07.08 05:38:51	3,0015
2020.07.08 05:38:52	3,0014
2020.07.08 05:38:53	3,0016
2020.07.08 05:38:54	3,0015
2020.07.08 05:38:55	3,0013
2020.07.08 05:38:56	3,0018
2020.07.08 05:38:57	3,0023
2020.07.08 05:38:58	3,0021
2020.07.08 05:38:59	3,0017
2020.07.08 05:39:00	3,0017
2020.07.08 05:39:01	3,0018
2020.07.08 05:39:02	3,0015
2020.07.08 05:39:03	3,0012
2020.07.08 05:39:04	3,0010
2020.07.08 05:39:05	3,0007
2020.07.08 05:39:06	3,0010
2020.07.08 05:39:07	3,0016
2020.07.08 05:39:08	3,0012
2020.07.08 05:39:09	3,0007
2020.07.08 05:39:10	3,0004
2020.07.08 05:39:11	2,9998
2020.07.08 05:39:12	2,9997
2020.07.08 05:39:13	3,0001
2020.07.08 05:39:14	3,0005
2020.07.08 05:39:15	3,0008
2020.07.08 05:39:16	3,0004
2020.07.08 05:39:17	3,0003
2020.07.08 05:39:18	3,0011
2020.07.08 05:39:19	3,0013
2020.07.08 05:39:20	3,0010
2020.07.08 05:39:21	3,0006
2020.07.08 05:39:22	3,0008
2020.07.08 05:39:23	3,0005
2020.07.08 05:39:24	2,9998
2020.07.08 05:39:25	3,0003
2020.07.08 05:39:26	3,0007
2020.07.08 05:39:27	3,0005
2020.07.08 05:39:28	3,0007
2020.07.08 05:39:29	3,0006
2020.07.08 05:39:30	3,0003
2020.07.08 05:39:31	3,0002
2020.07.08 05:39:32	2,9999
2020.07.08 05:39:33	2,9997
2020.07.08 05:39:34	2,9992
2020.07.08 05:39:35	2,9991
2020.07.08 05:39:36	3,0000
2020.07.08 05:39:37	3,0001
2020.07.08 05:39:38	3,0002
2020.07.08 05:39:39	3,0004
2020.07.08 05:39:40	3,0000
2020.07.08 05:39:41	2,9997
2020.07.08 05:39:42	2,9998
2020.07.08 05:39:43	2,9998
2020.07.08 05:39:44	2,9994
2020.07.08 05:39:45	2,9993
2020.07.08 05:39:46	2,9995
2020.07.08 05:39:47	2,9993
2020.07.08 05:39:48	2,9987
2020.07.08 05:39:49	2,9990
2020.07.08 05:39:50	2,9998
2020.07.08 05:39:51	3,0006
2020.07.08 05:39:52	3,0001
2020.07.08 05:39:53	2,9994
2020.07.08 05:39:54	2,9998
2020.07.08 05:39:55	2,9989
2020.07.08 05:39:56	2,9983
2020.07.08 05:39:57	2,9988
2020.07.08 05:39:58	2,9985
2020.07.08 05:39:59	2,9980
2020.07.08 05:40:00	2,9987
2020.07.08 05:40:01	2,9995
2020.07.08 05:40:02	2,9994
2020.07.08 05:40:03	2,9990
2020.07.08 05:40:04	2,9990
2020.07.08 05:40:05	2,9988
2020.07.08 05:40:06	2,9980
2020.07.08 05:40:07	2,9975
2020.07.08 05:40:08	2,9982
2020.07.08 05:40:09	2,9983
2020.07.08 05:40:10	2,9979
2020.07.08 05:40:11	2,9984
2020.07.08 05:40:12	2,9990
2020.07.08 05:40:13	2,9987
2020.07.08 05:40:14	2,9983
2020.07.08 05:40:15	2,9985
2020.07.08 05:40:16	2,9985
2020.07.08 05:40:17	2,9979
2020.07.08 05:40:18	2,9978
2020.07.08 05:40:19	2,9979
2020.07.08 05:40:20	2,9976
2020.07.08 05:40:21	2,9976
2020.07.08 05:40:22	2,9981
2020.07.08 05:40:23	2,9979
2020.07.08 05:40:24	2,9978
2020.07.08 05:40:25	2,9981
2020.07.08 05:40:26	2,9984
2020.07.08 05:40:27	2,9981
2020.07.08 05:40:28	2,9970
2020.07.08 05:40:29	2,9964
2020.07.08 05:40:30	2,9962
2020.07.08 05:40:31	2,9963
2020.07.08 05:40:32	2,9968
2020.07.08 05:40:33	2,9968
2020.07.08 05:40:34	2,9966
2020.07.08 05:40:35	2,9968
2020.07.08 05:40:36	2,9969
2020.07.08 05:40:37	2,9969
2020.07.08 05:40:38	2,9965
2020.07.08 05:40:39	2,9959
2020.07.08 05:40:40	2,9957
2020.07.08 05:40:41	2,9954
2020.07.08 05:40:42	2,9957
2020.07.08 05:40:43	2,9960
2020.07.08 05:40:44	2,9955
2020.07.08 05:40:45	2,9950
2020.07.08 05:40:46	2,9953
2020.07.08 05:40:47	2,9963
2020.07.08 05:40:48	2,9968
2020.07.08 05:40:49	2,9960
2020.07.08 05:40:50	2,9952
2020.07.08 05:40:51	2,9948
2020.07.08 05:40:52	2,9948
2020.07.08 05:40:53	2,9952
2020.07.08 05:40:54	2,9957
2020.07.08 05:40:55	2,9957
2020.07.08 05:40:56	2,9956
2020.07.08 05:40:57	2,9954
2020.07.08 05:40:58	2,9949
2020.07.08 05:40:59	2,9947
2020.07.08 05:41:00	2,9945
2020.07.08 05:41:01	2,9942
2020.07.08 05:41:02	2,9941
2020.07.08 05:41:03	2,9945
2020.07.08 05:41:04	2,9949
2020.07.08 05:41:05	2,9948
2020.07.08 05:41:07	2,9948
2020.07.08 05:41:08	2,9945
2020.07.08 05:41:09	2,9939
2020.07.08 05:41:10	2,9936
2020.07.08 05:41:11	2,9938
2020.07.08 05:41:12	2,9938
2020.07.08 05:41:13	2,9933
2020.07.08 05:41:14	2,9932
2020.07.08 05:41:15	2,9931
2020.07.08 05:41:16	2,9933
2020.07.08 05:41:17	2,9942
2020.07.08 05:41:18	2,9937
2020.07.08 05:41:19	2,9928
2020.07.08 05:41:20	2,9930
2020.07.08 05:41:21	2,9934
2020.07.08 05:41:22	2,9929
2020.07.08 05:41:23	2,9922
2020.07.08 05:41:24	2,9921
2020.07.08 05:41:25	2,9921
2020.07.08 05:41:26	2,9924
2020.07.08 05:41:27	2,9928
2020.07.08 05:41:28	2,9931
2020.07.08 05:41:29	2,9930
2020.07.08 05:41:30	2,9927
2020.07.08 05:41:31	2,9926
2020.07.08 05:41:32	2,9924
2020.07.08 05:41:33	2,9921
2020.07.08 05:41:34	2,9920
2020.07.08 05:41:35	2,9926
2020.07.08 05:41:36	2,9929
2020.07.08 05:41:37	2,9928
2020.07.08 05:41:38	2,9930
2020.07.08 05:41:39	2,9934
2020.07.08 05:41:40	2,9933
2020.07.08 05:41:41	2,9925
2020.07.08 05:41:42	2,9924
2020.07.08 05:41:43	2,9920
2020.07.08 05:41:44	2,9917
2020.07.08 05:41:45	2,9919
2020.07.08 05:41:46	2,9921
2020.07.08 05:41:47	2,9919
2020.07.08 05:41:48	2,9919
2020.07.08 05:41:49	2,9923
2020.07.08 05:41:50	2,9923
2020.07.08 05:41:51	2,9924
2020.07.08 05:41:52	2,9922
2020.07.08 05:41:53	2,9920
2020.07.08 05:41:54	2,9915
2020.07.08 05:41:55	2,9911
2020.07.08 05:41:56	2,9911
2020.07.08 05:41:57	2,9910
2020.07.08 05:41:58	2,9911
2020.07.08 05:41:59	2,9911
2020.07.08 05:42:00	2,9914
2020.07.08 05:42:01	2,9915
2020.07.08 05:42:02	2,9917
2020.07.08 05:42:03	2,9919
2020.07.08 05:42:04	2,9917
2020.07.08 05:42:05	2,9915
2020.07.08 05:42:06	2,9913
2020.07.08 05:42:07	2,9908
2020.07.08 05:42:08	2,9910
2020.07.08 05:42:09	2,9913
2020.07.08 05:42:10	2,9911
2020.07.08 05:42:11	2,9907
2020.07.08 05:42:12	2,9908
2020.07.08 05:42:13	2,9913
2020.07.08 05:42:14	2,9912
2020.07.08 05:42:15	2,9904
2020.07.08 05:42:16	2,9896
2020.07.08 05:42:17	2,9895
2020.07.08 05:42:18	2,9895
2020.07.08 05:42:19	2,9900
2020.07.08 05:42:20	2,9907
2020.07.08 05:42:21	2,9913
2020.07.08 05:42:22	2,9915
2020.07.08 05:42:23	2,9913
2020.07.08 05:42:24	2,9914
2020.07.08 05:42:25	2,9910
2020.07.08 05:42:26	2,9901
2020.07.08 05:42:27	2,9902
2020.07.08 05:42:29	2,9902
2020.07.08 05:42:30	2,9903
2020.07.08 05:42:31	2,9901
2020.07.08 05:42:32	2,9905
2020.07.08 05:42:33	2,9906
2020.07.08 05:42:34	2,9908
2020.07.08 05:42:35	2,9913
2020.07.08 05:42:36	2,9906
2020.07.08 05:42:37	2,9898
2020.07.08 05:42:38	2,9895
2020.07.08 05:42:39	2,9893
2020.07.08 05:42:40	2,9896
2020.07.08 05:42:41	2,9901
2020.07.08 05:42:42	2,9902
2020.07.08 05:42:43	2,9903
2020.07.08 05:42:44	2,9907
2020.07.08 05:42:47	2,9907
2020.07.08 05:42:48	2,9900
2020.07.08 05:42:49	2,9892
2020.07.08 05:42:50	2,9889
2020.07.08 05:42:51	2,9894
2020.07.08 05:42:52	2,9893
2020.07.08 05:42:53	2,9896
2020.07.08 05:42:54	2,9902
2020.07.08 05:42:55	2,9898
2020.07.08 05:42:56	2,9898
2020.07.08 05:42:57	2,9900
2020.07.08 05:42:58	2,9899
2020.07.08 05:42:59	2,9893
2020.07.08 05:43:00	2,9888
2020.07.08 05:43:01	2,9887
2020.07.08 05:43:03	2,9887
2020.07.08 05:43:04	2,9897
2020.07.08 05:43:05	2,9898
2020.07.08 05:43:06	2,9887
2020.07.08 05:43:07	2,9891
2020.07.08 05:43:08	2,9897
2020.07.08 05:43:09	2,9891
2020.07.08 05:43:10	2,9884
2020.07.08 05:43:11	2,9883
2020.07.08 05:43:12	2,9725
2020.07.08 05:43:13	2,9318
2020.07.08 05:43:14	2,7223
2020.07.08 05:43:15	2,8765
2020.07.08 05:43:16	2,8277
2020.07.08 05:43:17	2,8328
2020.07.08 05:43:18	2,8289
2020.07.08 05:43:19	2,8424
2020.07.08 05:43:20	2,8616
2020.07.08 05:43:21	2,8383
2020.07.08 05:43:22	2,8341
2020.07.08 05:43:23	2,8314
2020.07.08 05:43:24	2,9778
2020.07.08 05:43:25	2,9893
2020.07.08 05:43:26	2,9931
2020.07.08 05:43:27	2,9929
2020.07.08 05:43:28	2,9926
2020.07.08 05:43:29	2,9924
2020.07.08 05:43:30	2,9925
2020.07.08 05:43:31	2,9920
2020.07.08 05:43:32	2,9913
2020.07.08 05:43:33	2,9911
2020.07.08 05:43:34	2,9907
2020.07.08 05:43:35	2,9901
2020.07.08 05:43:36	2,9900
2020.07.08 05:43:37	2,9904
2020.07.08 05:43:38	2,9905
2020.07.08 05:43:39	2,9899
2020.07.08 05:43:40	2,9904
2020.07.08 05:43:41	2,9910
2020.07.08 05:43:42	2,9906
2020.07.08 05:43:43	2,9901
2020.07.08 05:43:44	2,9895
2020.07.08 05:43:45	2,9890
2020.07.08 05:43:46	2,9885
2020.07.08 05:43:47	2,9887
